"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000064368"	2236.3429266266	1.09640788201792	0.509645443618189	2.15131498916983	0.0314513459589675	0.644360095133783
"ENSMUSG00000064363"	13938.1007818285	0.955684215802171	0.466893707324071	2.04689889970787	0.0406680121614303	0.68997365099495
"ENSMUSG00000064360"	5562.6678915069	0.424948646290409	0.41592768866339	1.02168876435231	0.306928230563245	0.97203254082056
"ENSMUSG00000064358"	39564.9368769797	0.624287323863051	0.511637970945776	1.22017394977359	0.222398939913698	0.94162238605622
"ENSMUSG00000064357"	26590.8075480924	0.872976934203079	0.685907002782092	1.27273366602501	0.203112566893301	0.926329676217111
"ENSMUSG00000064356"	229.219128356749	1.01857752329033	0.821402239163053	1.24004717144207	0.214957947142975	0.937950493175484
"ENSMUSG00000064354"	25015.6960866731	0.862980170981938	0.459682504443652	1.87733960426967	0.0604715634354308	0.768846420199158
"ENSMUSG00000064351"	65118.2494747597	1.02343516086644	0.47232394301764	2.16680770897998	0.0302495193962128	0.64066698255201
"ENSMUSG00000064341"	18795.3324996625	0.887972331600175	0.485225941549159	1.83001825657793	0.067247208932668	0.791360422845666
"ENSMUSG00000099871"	90.3711983449723	1.4242159338388	2.37369405372791	0.599999790032777	0.548506375432645	0.998723875094611
"ENSMUSG00000095134"	10.3599772589048	-0.662432315455184	1.36504783994055	-0.485281391664657	0.627476753486317	0.998723875094611
"ENSMUSG00000056673"	10.6934181338306	0.96953593585285	1.09755694920062	0.883358204382007	0.377042765282151	0.98723479911617
"ENSMUSG00000053211"	11.3923940028326	0.516390960694586	1.06988203938936	0.482661584812955	0.629336043723488	0.998723875094611
"ENSMUSG00000035299"	25155.537443961	0.115362131884166	0.184834053054746	0.62413895046708	0.53253633581509	0.998723875094611
"ENSMUSG00000087159"	13.6690166269447	0.509510222067728	0.919012416048034	0.554410596821683	0.579297875524462	0.998723875094611
"ENSMUSG00000031355"	75.6867380492347	-0.87912126925831	0.974286614242874	-0.902323049918409	0.366885284618114	0.98723479911617
"ENSMUSG00000031358"	540.74398397257	-0.168218451872775	0.363351340962013	-0.46296361925457	0.643390444587008	0.998723875094611
"ENSMUSG00000049176"	7.12094477633721	1.05883366907214	2.75909016613557	0.383761894434627	0.701154933309313	NA
"ENSMUSG00000025742"	2837.15014408163	-0.056013138928001	0.306706134594313	-0.182628035797493	0.85508988490522	0.998723875094611
"ENSMUSG00000049775"	16216.126057602	0.282422419656218	0.313266795667353	0.90153959360606	0.36730149209924	0.98723479911617
"ENSMUSG00000000402"	19.6427611966449	1.06610709505305	1.00692588362432	1.05877414851599	0.289702649648623	0.962537232792258
"ENSMUSG00000051224"	187.155177818417	0.102954288348793	0.36978791640747	0.278414420214174	0.78069425121853	0.998723875094611
"ENSMUSG00000040586"	797.453647395316	0.0445065542557748	0.240208529617031	0.185282988604661	0.85300708014495	0.998723875094611
"ENSMUSG00000031342"	1028.15687201663	-0.269496302322015	0.62486022371349	-0.431290538419011	0.666257129130913	0.998723875094611
"ENSMUSG00000018589"	25.2985344390573	0.707678249002192	2.56268023146525	0.276147698925966	0.78243462599306	0.998723875094611
"ENSMUSG00000047757"	369.467625589278	-0.0543850949286231	0.356779172133385	-0.152433491572459	0.878845043265705	0.998723875094611
"ENSMUSG00000061778"	551.984766107947	0.0515724703943604	0.197303155274973	0.261386952086427	0.793794118106756	0.998723875094611
"ENSMUSG00000040749"	1060.74938952304	-0.00180440427400986	0.238878991384486	-0.00755363317448707	0.993973130025059	0.999801258192144
"ENSMUSG00000031370"	1373.49589293284	-0.0826756663329364	0.174156506178545	-0.47472051516799	0.634986193440664	0.998723875094611
"ENSMUSG00000031367"	792.305890829043	-0.179729129794505	0.290472689992165	-0.618747083587627	0.536082987166033	0.998723875094611
"ENSMUSG00000038344"	1723.27447847246	0.174031852075161	0.241840123272022	0.719615296752931	0.471761891118596	0.995071906134947
"ENSMUSG00000031353"	12380.8595639812	0.0624366175568005	0.181780548283451	0.343472490023757	0.731243033216169	0.998723875094611
"ENSMUSG00000040855"	32.2687371250127	1.14249204692189	0.821934563740545	1.39000365396792	0.164527767788407	0.906381905318063
"ENSMUSG00000062168"	7.79039156046011	0.253614415625297	1.4370212777444	0.176486193734987	0.859911994245918	NA
"ENSMUSG00000031295"	657.09922150223	-0.0307102760239939	0.196670009658327	-0.156151291584043	0.875913769348095	0.998723875094611
"ENSMUSG00000031303"	318.166213077133	-0.794864796165748	0.642469652861479	-1.23720208826288	0.216012066456931	0.938320583195239
"ENSMUSG00000044150"	809.920696619421	0.195752295932431	0.224402660839896	0.872326090964196	0.3830305079272	0.98723479911617
