Ratio H/L normalized pd2_forward	Ratio H/L normalized pd2_reverse	Ratio H/L normalized pd4_forward	Ratio H/L normalized pd4_reverse	Only identified by site	Reverse	Contaminant	Ratio H/L normalized pd2_forward B significant	Ratio H/L normalized pd2_reverse B significant	Ratio H/L normalized pd4_forward B significant	Ratio H/L normalized pd4_reverse B significant	Peptides	Unique peptides	Intensity pd2_forward	Intensity pd2_reverse	Intensity pd4_forward	Intensity pd4_reverse	Ratio H/L normalized pd2_forward Significance B	Ratio H/L normalized pd2_reverse Significance B	Ratio H/L normalized pd4_forward Significance B	Ratio H/L normalized pd4_reverse Significance B	Protein IDs	Majority protein IDs	Protein names	Gene names	Proteins	Color
#!{Type}E	E	E	E	C	C	C	C	C	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	
NaN	1.904542	NaN	-0.1757291								4	2	8443200	15549000	3562000	26794000	1	0.612719240466023	1	0.413873352349917	A1A549;A1A550;Q9Z1J1;E9QQ89;Q924A0-4;E9QQ90;Q3V1G9;D3Z2K5;Q924A0-8;E9QQ91;Q80WT9;Q924A0;Q924A0-3;Q924A0-2;D3YWT3;E9Q990;F6WPX2;F6XQR1;P27782;Q8BGZ9;D3Z654;Q8C402;Q8C834;P27782-2;D3Z1L0	A1A549;A1A550;Q9Z1J1;E9QQ89;Q924A0-4;E9QQ90;Q3V1G9;D3Z2K5;Q924A0-8;E9QQ91;Q80WT9;Q924A0;Q924A0-3;Q924A0-2;D3YWT3;E9Q990;F6WPX2;F6XQR1;P27782;Q8BGZ9;D3Z654;Q8C402;Q8C834;P27782-2;D3Z1L0	Transcription factor 7-like 1;Transcription factor 7-like 2;Lymphoid enhancer-binding factor 1	Tcf7l1;Tcf7l2;Lef1	25	
NaN	NaN	NaN	NaN								11	2	0	332600	1442300	1255100	1	1	1	1	Q7TPR4;A1BN54	Q7TPR4;A1BN54	Alpha-actinin-1	Actn1	2	
3.487615	3.503222	2.709467	3.267431								7	7	227520000	249260000	293550000	506540000	0.26609002312528	0.265229055300785	0.629224472905237	0.371353470413415	P84099;A2A547	P84099;A2A547	60S ribosomal protein L19;Ribosomal protein L19	Rpl19	2	
NaN	NaN	NaN	NaN								1	1	280490	0	0	0	1	1	1	1	P48972;A2A5P3	P48972;A2A5P3	Myb-related protein B	Mybl2	2	
NaN	NaN	NaN	NaN								1	1	0	8976000	36181000	14574000	1	1	1	1	A2A716;F8VQM4	A2A716;F8VQM4	Oxysterol-binding protein	Osbpl7	2	
1.320254	0.3542265	0.5781175	NaN								3	1	22470000	10256000	16270000	2903700	0.731449588154243	0.873349059335065	0.361104276983602	1	A2A7A1;E9Q9R0;A2A7V2;Q32P14;B1AZ91;A2A8V4;E9Q4Q0;B1AVX1	A2A7A1;E9Q9R0;A2A7V2;Q32P14;B1AZ91		Zfp534;Gm13051;Gm13235	8	
NaN	NaN	NaN	NaN								2	1	1243300	333100	1074000	779500	1	1	1	1	A2A7A2;B1ASQ7;E9PWQ2;B1ASQ6	A2A7A2;B1ASQ7;E9PWQ2;B1ASQ6		Gm13157;Gm13212	4	
NaN	NaN	NaN	NaN								1	1	0	0	553490	0	1	1	1	1	A2A7A5;A2A7A4;A2A7A3	A2A7A5;A2A7A4;A2A7A3		Gm13154	3	
NaN	NaN	NaN	NaN								1	1	3449800	1500500	0	0	1	1	1	1	A2A7B5;F8VQB7	A2A7B5;F8VQB7		Prdm2	2	
NaN	-0.9567395	NaN	NaN								4	4	2076900	2049900	0	0	1	0.265713378855624	1	1	A2A7F4;E9Q532	A2A7F4;E9Q532		Rlf	2	
NaN	NaN	NaN	NaN								19	0	1041100	241080	0	592940	1	1	1	1	E9PYL1;A2A8L1;E9PYU4;F6SLC9	E9PYL1;A2A8L1;E9PYU4;F6SLC9		Chd5	4	
0.8384274	-0.6171225	NaN	NaN								4	4	6430400	9283100	0	1207300	0.544933172709482	0.386515008242028	1	1	Q52KI8;E9PUK6;A2A8V9;A2A8V8;E9QKA4;Q52KI8-2;A2A983;F6T4M4	Q52KI8;E9PUK6;A2A8V9;A2A8V8;E9QKA4;Q52KI8-2;A2A983	Serine/arginine repetitive matrix protein 1	Srrm1	8	
NaN	NaN	NaN	NaN								1	1	1428200	564740	1656000	2972800	1	1	1	1	P70245;A2AC29	P70245;A2AC29	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	Ebp	2	
0.7276155	0.5917751	0.1116991	0.7372541								4	4	3511100	1502400	3776500	15018000	0.505625140551264	0.994417186255756	0.235179842815361	0.716177417536233	Q3U505;Q9DBG6;A2ACG7	Q3U505;Q9DBG6;A2ACG7	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	Rpn2	3	
1.43957	-0.2730991	NaN	NaN								10	1	32297000	8722800	3437500	3264300	0.780801051903886	0.538082104310893	1	1	A2ADB0;A2ADB1;E9Q807	A2ADB0;A2ADB1;E9Q807		Spen	3	
1.184598	-1.239089	2.050153	-2.696658								10	4	20678000	6785100	12927000	24508000	0.676670206358344	0.187380959292745	0.960955163415628	0.038511678311973	Q60973;A2AFJ1;A2AFI9;F6ZLC6;F6U539	Q60973;A2AFJ1;A2AFI9	Histone-binding protein RBBP7	Rbbp7	5	nurd
1.706774	1.039981	1.816927	1.247806								1	1	870580	306200	1515300	917010	0.894285222999929	0.859167705087057	0.852527835316516	0.912444376177304	A2AFQ2;O08756;Q99N15	A2AFQ2;O08756;Q99N15	3-hydroxyacyl-CoA dehydrogenase type-2	Hsd17b10	3	
NaN	NaN	NaN	NaN								1	1	1828200	515800	1371700	1722200	1	1	1	1	A2AGH6;A2AGH9;A2AGH6-2;A2AGH8;A2AGH6-3	A2AGH6;A2AGH9;A2AGH6-2;A2AGH8;A2AGH6-3	Mediator of RNA polymerase II transcription subunit 12	Med12	5	
2.557337	-0.7945824	2.625551	2.071145								17	16	96401000	25951000	21605000	19556000	0.660781156309047	0.319718196528209	0.67999485943867	0.764745777355963	A2AH85;O08810;G3UZ34;G3UXK8	A2AH85;O08810;G3UZ34	116 kDa U5 small nuclear ribonucleoprotein component	Eftud2	4	
